datetime,file,cluster_path,timecost_cluster_calculation,k,actual_iteration,max_iteration
09:19:46-21/11/2023,artificial_rgb16bit_6,hadoop_output/artificial_rgb16bit_6/cluster-12/part-r-00000,98.543,6,13,100
09:21:00-21/11/2023,artificial_rgb16bit_8,hadoop_output/artificial_rgb16bit_8/cluster-4/part-r-00000,39.923,8,5,100
09:23:02-21/11/2023,artificial_rgb16bit_12,hadoop_output/artificial_rgb16bit_12/cluster-12/part-r-00000,110.876,12,13,100
09:24:36-21/11/2023,artificial_rgb16bit_16,hadoop_output/artificial_rgb16bit_16/cluster-7/part-r-00000,69.244,16,8,100
09:29:03-21/11/2023,artificial_rgb16bit_48,hadoop_output/artificial_rgb16bit_48/cluster-14/part-r-00000,155.317,48,15,100
09:32:06-21/11/2023,artificial_rgb16bit_64,hadoop_output/artificial_rgb16bit_64/cluster-15/part-r-00000,169.699,64,16,100
09:35:39-21/11/2023,artificial_rgb16bit_96,hadoop_output/artificial_rgb16bit_96/cluster-13/part-r-00000,174.066,96,14,100
09:40:10-21/11/2023,artificial_rgb16bit_144,hadoop_output/artificial_rgb16bit_144/cluster-15/part-r-00000,245.043,144,16,100
09:46:06-21/11/2023,artificial_rgb16bit_196,hadoop_output/artificial_rgb16bit_196/cluster-17/part-r-00000,319.979,196,18,100
09:53:27-21/11/2023,artificial_rgb16bit_208,hadoop_output/artificial_rgb16bit_208/cluster-21/part-r-00000,400.917,208,22,100
10:00:02-21/11/2023,artificial_rgb16bit_256,hadoop_output/artificial_rgb16bit_256/cluster-17/part-r-00000,370.415,256,18,100
10:01:07-21/11/2023,artificial_rgb16bit_3,hadoop_output/artificial_rgb16bit_3/cluster-3/part-r-00000,32.579,3,4,100
10:02:16-21/11/2023,artificial_rgb16bit_5,hadoop_output/artificial_rgb16bit_5/cluster-6/part-r-00000,54.573,5,7,100
04:23:43-01/12/2023,artificial_rgb16bit_linear,hadoop_output/artificial_rgb16bit_linear_2/cluster-0/part-r-00000,9.264,2,1,1
04:24:33-01/12/2023,artificial_rgb16bit_linear,hadoop_output/artificial_rgb16bit_linear_6/cluster-0/part-r-00000,9.177,6,1,1
04:24:40-01/12/2023,artificial_rgb16bit_linear,hadoop_output/artificial_rgb16bit_linear_8/cluster-0/part-r-00000,6.182,8,1,1
04:24:47-01/12/2023,artificial_rgb16bit_linear,hadoop_output/artificial_rgb16bit_linear_12/cluster-0/part-r-00000,7.176,12,1,1
04:24:53-01/12/2023,artificial_rgb16bit_linear,hadoop_output/artificial_rgb16bit_linear_16/cluster-0/part-r-00000,6.171,16,1,1
04:27:21-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_2/cluster-0/part-r-00000,9.177,2,1,1
04:27:42-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_4/cluster-0/part-r-00000,9.16,4,1,1
04:27:57-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_6/cluster-0/part-r-00000,9.463,6,1,1
04:28:31-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_8/cluster-0/part-r-00000,9.178,8,1,1
04:29:44-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_12/cluster-0/part-r-00000,9.19,12,1,1
04:30:00-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_16/cluster-0/part-r-00000,9.2,16,1,1
04:30:16-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_32/cluster-0/part-r-00000,10.19,32,1,1
04:30:54-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_48/cluster-0/part-r-00000,10.154,48,1,1
04:31:16-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_64/cluster-0/part-r-00000,11.158,64,1,1
04:31:37-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_96/cluster-0/part-r-00000,12.154,96,1,1
04:31:52-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_128/cluster-0/part-r-00000,13.159,128,1,1
04:32:15-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_144/cluster-0/part-r-00000,13.155,144,1,1
04:32:39-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_192/cluster-0/part-r-00000,15.179,192,1,1
04:32:57-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_208/cluster-0/part-r-00000,15.161,208,1,1
04:33:18-01/12/2023,artificial_rgb16bit,hadoop_output/artificial_rgb16bit_256/cluster-0/part-r-00000,17.185,256,1,1
